congress,latestAction,number,purpose,type,updateDate,url,description
118,,3290,,SAMDT,2024-10-04T16:27:29Z,https://api.congress.gov/v3/amendment/118/samdt/3290?format=json,
118,"{'actionDate': '2024-09-18', 'text': 'Amendment SA 3288 agreed to in Senate by Unanimous Consent.'}",3288,In the nature of a substitute.,SAMDT,2024-09-20T11:08:19Z,https://api.congress.gov/v3/amendment/118/samdt/3288?format=json,
118,"{'actionDate': '2024-09-18', 'text': 'On agreeing to the Rules amendment (A001) Agreed to without objection.'}",1197,,HAMDT,2024-09-19T08:09:12Z,https://api.congress.gov/v3/amendment/118/hamdt/1197?format=json,"Pursuant to the provisions of H.Res. 1430, the amendment printed in Part D of House Report 118-656 is considered adopted."
118,"{'actionDate': '2024-09-18', 'text': 'On agreeing to the Rules amendment (A001) Agreed to without objection.'}",1196,,HAMDT,2024-09-19T08:09:12Z,https://api.congress.gov/v3/amendment/118/hamdt/1196?format=json,"Pursuant to the provisions of H. Res. 1455, in lieu of the amendment in the nature of a substitute recommended by the Committee on the Judiciary, an amendment in the nature of a substitute consisting of the text of Rules Committee Print 118-47 is considered adopted."
118,"{'actionDate': '2024-09-18', 'text': 'On agreeing to the Rules amendment (A001) Agreed to without objection.'}",1195,,HAMDT,2024-09-19T08:09:11Z,https://api.congress.gov/v3/amendment/118/hamdt/1195?format=json,"Pursuant to the provisions of H.Res. 1455, the amendment in the nature of a substitute recommended by the Committee on Ways and Means is considered adopted."
118,"{'actionDate': '2024-09-18', 'text': 'On agreeing to the Rules amendment (A001) Agreed to without objection.'}",1194,,HAMDT,2024-09-19T08:09:11Z,https://api.congress.gov/v3/amendment/118/hamdt/1194?format=json,"Pursuant to the provisions of H. Res. 1455, in lieu of the amendment in the nature of a substitute recommended by the Committee on Education and the Workforce now printed in the bill, an amendment in the nature of a substitute consisting of the text of Rules Committee Print 118-50 is considered adopted."
118,,3285,,SAMDT,2024-09-19T11:08:15Z,https://api.congress.gov/v3/amendment/118/samdt/3285?format=json,
118,,3287,,SAMDT,2024-09-19T11:08:15Z,https://api.congress.gov/v3/amendment/118/samdt/3287?format=json,
118,,3286,,SAMDT,2024-09-19T11:08:15Z,https://api.congress.gov/v3/amendment/118/samdt/3286?format=json,
118,,3283,,SAMDT,2024-09-18T11:08:17Z,https://api.congress.gov/v3/amendment/118/samdt/3283?format=json,
